birth_year,count,course_id,created,date
2003,8,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150835,2020-07-31
2004,3,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150836,2020-07-31
2005,2,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150836,2020-07-31
2006,1,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150837,2020-07-31
2007,1,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150837,2020-07-31
2010,2,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150839,2020-07-31
2013,1,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150840,2020-07-31
2015,1,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150841,2020-07-31
2016,1,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150842,2020-07-31
2017,2,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150842,2020-07-31
2018,2,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150843,2020-07-31
2020,1,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150844,2020-07-31
