audit,count,course_id,created,credit,cumulative_count,date,honor,masters,professional,verified
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T122215,0,5,2019-10-02,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T124639,0,5,2019-10-03,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T123456,0,5,2019-10-04,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T122334,0,5,2019-10-05,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T124748,0,5,2019-10-06,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T123609,0,5,2019-10-07,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T122446,0,5,2019-10-08,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T124857,0,5,2019-10-09,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T124553,0,5,2019-10-10,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T123405,0,5,2019-10-11,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T122248,0,5,2019-10-12,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T124702,0,5,2019-10-13,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T123520,0,5,2019-10-14,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T122405,0,5,2019-10-15,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T124811,0,5,2019-10-16,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T123635,0,5,2019-10-17,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T122513,0,5,2019-10-18,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T124921,0,5,2019-10-19,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T124616,0,5,2019-10-20,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T123430,0,5,2019-10-21,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T122308,0,5,2019-10-22,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T124725,0,5,2019-10-23,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T123544,0,5,2019-10-24,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T122424,0,5,2019-10-25,0,0,0,0
